Designator,Mid X,Mid Y,Rotation,Layer
_8,109.204521,-69.866903,0.0,top
_7,106.330724,-66.918783,0.0,top
_6,107.8,-70.4,0.0,top
_5,107.8,-66.2,0.0,top
_4,105.686597,-68.388714,0.0,top
_3,109.245812,-66.885751,0.0,top
_2,106.34724,-69.866903,0.0,top
,109.823874,-68.347424,0.0,top
C1,179.05,-71.5,180.0,top
C10,137.2,-82.8,90.0,bottom
C11,135.0,-82.6,90.0,bottom
C12,132.0,-89.0,0.0,bottom
C15,133.0,-86.0,90.0,bottom
C16,123.8,-82.8,90.0,bottom
C17,125.8,-82.6,90.0,bottom
C18,127.6,-102.8,180.0,bottom
C19,128.0,-89.0,180.0,bottom
C2,179.05,-61.25,180.0,top
C20,127.0,-86.0,90.0,bottom
C3,179.05,-63.75,180.0,top
C30,144.2,-49.2,90.0,bottom
C31,142.2,-49.0,90.0,bottom
C32,138.4,-56.4,90.0,bottom
C33,136.2,-56.4,90.0,bottom
C34,140.6,-52.4,90.0,bottom
C35,136.6,-59.4,180.0,bottom
C36,130.4,-49.2,90.0,bottom
C37,132.4,-49.0,90.0,bottom
C38,126.4,-57.2,180.0,bottom
C39,126.4,-55.2,180.0,bottom
C4,180.5,-78.0,270.0,top
C40,134.4,-52.0,90.0,bottom
C41,126.425,-59.2,180.0,bottom
C43,128.2,-81.8,0.0,bottom
C44,135.4,-48.2,0.0,bottom
C45,132.0,-81.8,180.0,bottom
C46,139.4,-48.2,180.0,bottom
C5,180.5,-58.5,90.0,top
J2,186.0,-68.35,270.0,top
J3,138.925,-94.5025,0.0,bottom
J4,138.925,-64.3025,0.0,bottom
R1,129.5625,-99.6,180.0,bottom
R2,139.0,-88.4,180.0,bottom
R3,130.6,-56.2,270.0,bottom
R4,144.0,-56.2,270.0,bottom
U1,130.0,-85.2,270.0,bottom
U3,137.4,-51.6,270.0,bottom
